No col,,0,  ffffff
Wheel,,1,  ffffff
Mix,,2,  ffffff
Maroon,,3,80
SaddleBrown,,4,  13458b
DarkRed,,5,      8b
Sienna,,6,  2d52a0
Brown,,7,  2a2aa5
Firebrick,,8,  2222b2
Crimson,,9,  3c14dc
Red,,10,      ff
OrangeRed,,11,    45ff
IndianRed,,12,  5c5ccd
Tomato,,13,  4763ff
Chocolate,,14,  1e69d2
Coral,,15,  507fff
LightCoral,,16,  8080f0
DarkSalmon,,17,  7a96e9
Salmon,,18,  7280fa
LightSalmon,,19,  7aa0ff
SandyBrown,,20,  60a4f4
Peru,,21,  3f85cd
DarkGoldenrod,,22,   b86b8
DarkOrange,,23,    8cff
Amber,,24,8cff
Orange,,25,    a5ff
Goldenrod,,26,  20a5da
DarkKhaki,,27,  6bb7bd
BurlyWood,,28,  87b8de
Tan,,29,  8cb4d2
Gold,,30,    d7ff
Yellow,,31,    ffff
Khaki,,32,  8ce6f0
GreenYellow,,33,  2fffad
YellowGreen,,34,  32cd9a
LawnGreen,,35,    fc7c
Lime,,36,    ff00
SpringGreen,,37,  7fff00
LightGreen,,38,  90ee90
PaleGreen,,39,  98fb98
MediumSpringGreen,,40,  9afa00
LimeGreen,,41,  32cd32
MediumSeaGreen,,42,  71b33c
SeaGreen,,43,  578b2e
ForestGreen,,44,  228b22
DarkGreen,,45,6400
Green,,46,8000
DarkOliveGreen,,47,  2f6b55
Olive,,48,8080
OliveDrab,,49,  238e6b
Teal,,50,808000
DarkCyan,,51,  8b8b00
LightSeaGreen,,52,  aab220
MediumTurquoise,,53,  ccd148
DarkSeaGreen,,54,  8bbc8f
Aquamarine,,55,  d4ff7f
MediumAquamarine,,56,  aacd66
LightSkyBlue,,57,  face87
LightSteelBlue,,58,  dec4b0
SkyBlue,,59,  ebce87
Turquoise,,60,  d0e040
DeepSkyBlue,,61,  ffbf00
DarkTurquoise,,62,  d1ce00
Cyan,,63,  ffff00
CadetBlue,,64,  a09e5f
LightSlateGray,,65,998877
CornflowerBlue,,66,  ed9564
DodgerBlue,,67,  ff901e
SteelBlue,,68,  b48246
MediumSlateBlue,,69,  ee687b
SlateBlue,,70,  cd5a6a
RoyalBlue,,71,40000
Blue,,72,  ff0000
MediumBlue,,73,  cd0000
DarkBlue,,74,  8b0000
MidnightBlue,,75,701919
Navy,,76,800000
Indigo,,77,  82004b
DarkSlateBlue,,78,  8b3d48
DarkMagenta,,79,  8b008b
Purple,,80,800080
DarkViolet,,81,  d30094
BlueViolet,,82,  e22b8a
DarkOrchid,,83,  cc3299
MediumOrchid,,84,  d355ba
MediumPurple,,85,  db7093
MediumVioletRed,,86,  8515c7
DeepPink,,87,  9314ff
Magenta,,88,  ff00ff
Fuchsia,,89,  ff00ff
PaleVioletRed,,90,  9370db
RosyBrown,,91,  8f8fbc
HotPink,,92,  b469ff
Orchid,,93,  d670da
Violet,,94,  ee82ee
Plum,,95,  dda0dd
Pink,,96,  cbc0ff
LightPink,,97,  c1b6ff
CTC,,98,  d8bfd8
Silver,,99,  c0c0c0
Lavender,,100,  fae6e6
Gainsboro,,101,  dcdcdc
Straw,,102,  b3def5
White,,103,  ffffff
DarkGray,,104,  a9a9a9
SlateGray,,105,908070
DimGray,,106,696969
Gray,,107,808080
DarkSlateGray,,108,  4f4f2f
Black,,109,0
L002 Rose Pink,Strong pink wash cycloramas.,1002,ee82ee
L003 Lavender Tint,Subtle cool wash for stage and studio lighting.,1003,c1bcff
L004 Medium Bastard Amber,Naturally enhances skin tones.,1004,cbc0ff
L007 Pale Yellow,Sunlight.,1007,d2fafa
L008 Dark Salmon,Enhances dark skin tones sunsets ballroom sets.,1008,7280fa
L009 Pale Amber Gold,Late sunlight.,1009,b5e4ff
L010 Medium Yellow,Sunlight effect.,1010,ffff
L013 Straw Tint,Sunlight wash with gobos interior lighting.,1013,addeff
L015 Deep Straw,Strong mood effect on backings with yellow bias.,1015,d7ff
L017 Surprise Peach,Skin tones - mood light.,1017,2d52a0
L019 Fire,Disco effect - fire effect.,1019,ff
