,,,Topstar_120WLedBeam_13ch,0,00000000,,,,
,IdeaColChange57,11ch,SGM_IdeaColChange575_11ch,0,00000000,,,,
,ImressionLEDWas,14ch,American Pro_ImressionLEDWash_14ch,0,00000000,,,,
,WhiteBlinder400,1ch,Elumen8_WhiteBlinder400W_1ch,0,00000000,,,,
25Lights,10MMLEDPar64,4ch,25Lights_10MMLEDPar64_4ch,4,00000000,,,,
25Lights,18wLEDPar64,7ch,25Lights_18wLEDPar64_7ch,7,00000000,,,,
5Star,Helix255M,16bit,5Star_Helix255M_16bit,16,00000000,5Star Systems,Helix 255M,,
5Star,Helix255M,8bit,5Star_Helix255M_8bit,14,00000000,5Star Systems,Helix 255M,,
5Star,Spica 250M,,5Star_Spica 250M,16,00000000,5Star Systems,Spica 250M,,5star spica250m
A and O,Falcon6000CMY,,A and O_Falcon6000CMY,15,00000000,,,,A and O Falcon6000CMY
Aadyn,EcoJabDayLight,6ch,Aadyn_EcoJabDayLight_6ch,6,00000000,,JAB Daylight,,
Aadyn,EcoPunchPlus,6ch,Aadyn_EcoPunchPlus_6ch,6,00000000,,ECO Punch Plus,,
Abstract,BarScan,6ch,Abstract_BarScan_6ch,6,00000000,,,,Abstract_BarScan.hed
Abstract,CE8,,Abstract_CE8,4,00000000,,,,Abstract CE8
Abstract,ClubColor,2ch,Abstract_ClubColor_2ch,2,00000000,,,,
Abstract,ClubRev,,Abstract_ClubRev,4,00000000,,,,Abstract ClubRev
Abstract,ClubScan,,Abstract_ClubScan,4,00000000,,,,Abstract ClubScan
Abstract,ColChangeCE,2ch,Abstract_ColChangeCE_2ch,2,00000000,,,,Abstract_Color Change CE.hed
Abstract,Colour,,Abstract_Colour,2,00000000,,,,Abstract Colour
Abstract,CRX800,,Abstract_CRX800,5,00000000,,,,abstract crx800
Abstract,Future1CE,,Abstract_Future1CE,4,00000000,,,,Abstract Future1
Abstract,Future2CE,,Abstract_Future2CE,4,00000000,,,,Abstract Future2
Abstract,Future3CE,,Abstract_Future3CE,4,00000000,,,,Abstract Future3
Abstract,FutureScanIII,4ch,Abstract_FutureScanIII_4ch,4,00000000,,,,
Abstract,GalMoon,,Abstract_GalMoon,2,00000000,,,,Abstract GalMoon
Abstract,GalRev,,Abstract_GalRev,4,00000000,,,,Abstract Glad Rev
Abstract,GalStar,,Abstract_GalStar,4,00000000,,,,Abstract GalStar
Abstract,Gladiator,,Abstract_Gladiator,4,00000000,,,,Abstract Gladiator
Abstract,PixelPad,Mode 12,Abstract_PixelPad_Mode 12,48,00000000,,,,
Abstract,PixelPad,Mode 3,Abstract_PixelPad_Mode 3,12,00000000,,,,
Abstract,PixelPad,Mode 4,Abstract_PixelPad_Mode 4,16,00000000,,,,
Abstract,PixelPad,Show,Abstract_PixelPad_Show,12,00000000,,,,
Abstract,RecScan,,Abstract_RecScan,5,00000000,,,,Abstract RecScan
Abstract,Twister,,Abstract_Twister,2,00000000,,,,Abstract Twister
Abstract,VR8,,Abstract_VR8,4,00000000,,,,Abstract VR8
Abstract,VR8CE,,Abstract_VR8CE,4,00000000,,,,Abstract VR8CE
Abstract,VR8R,,Abstract_VR8R,6,00000000,,,,Abstract VR8R
Abstract,VR8RCE,,Abstract_VR8RCE,4,00000000,,,,Abstract VR8RCE
Abstract,VRXCol,,Abstract_VRXCol,4,00000000,,,,Abstract VRXCol
Abstract,VRXGlad,,Abstract_VRXGlad,6,00000000,,,,Abstract VRXGlad
Abstract,VRXPowerLED,20ch,Abstract_VRXPowerLED_20ch,20,00000000,,,,Abstract VRXPowerLED_20ch
Abstract,VRXScan,,Abstract_VRXScan,6,00000000,,,,Abstract VRXScan
Abstract,VRXStar,,Abstract_VRXStar,6,00000000,,,,Abstract VRXStar
Abstract,XP1,,Abstract_XP1,4,00000000,,,,abstract xp1
Abstract,XP2,,Abstract_XP2,4,00000000,,,,abstract xp2
Abstract,XP3,,Abstract_XP3,4,00000000,,,,abstract xp3
Abstract,XP4,,Abstract_XP4,2,00000000,,,,abstract xp4
Abstract,XP5,,Abstract_XP5,3,00000000,,,,abstract xp5
AC Lighting,Color Block,HSI,AC Lighting_Color Block_HSI,3,00000000,,,,ac lighting colorblockhsi
AC Lighting,Color Block,Mode 1,AC Lighting_Color Block_Mode 1,7,00000000,,,,ac lighting colorblockm1
AC Lighting,Color Block,Mode 4,AC Lighting_Color Block_Mode 4,6,00000000,,,,ac lighting colorblockm4
AC Lighting,Color Block,Mode 7,AC Lighting_Color Block_Mode 7,9,00000000,,,,ac lighting colorblockm7
AC Lighting,Color Block,RGB,AC Lighting_Color Block_RGB,3,00000000,,,,ac lighting colorblockrgb
AC Lighting,TSpot 250,16bit,AC Lighting_TSpot 250_16bit,13,00000000,,,,ac lighting tourspot25016
AC Lighting,TSpot 250,8bit,AC Lighting_TSpot 250_8bit,11,00000000,,,,ac lighting tourspot2508
